Season,Age,Team,Lg,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS
1979-80,19,EDM,NHL,C,79,51,86,137,14,21,37,13,1,6,63,22,1,284,18,,43.6,154,41,117,18,14,11.3,1.3,12.6
1980-81,20,EDM,NHL,C,80,55,109,164,41,28,36,15,4,3,68,38,3,261,21.1,,46.1,206,67,115,17,41,12.3,2,14.3
1981-82,21,EDM,NHL,C,80,92,120,212,80,26,68,18,6,12,79,39,2,370,24.9,,61.1,265,76,122,13,80,17.2,2.5,19.7
1982-83,22,EDM,NHL,C,80,71,125,196,61,59,47,18,6,9,85,36,4,348,20.4,,58.9,237,77,134,35,61,16.1,1.9,18
1983-84,23,EDM,NHL,C,74,87,118,205,78,39,55,20,12,11,80,27,11,326,26.7,,63.3,250,69,133,30,78,17.4,2.2,19.6
1984-85,24,EDM,NHL,C,80,73,135,208,100,52,54,8,11,7,92,36,7,354,20.6,,61.1,253,61,129,37,100,16.6,3,19.6
1985-86,25,EDM,NHL,C,80,52,163,215,71,46,38,11,3,6,105,43,15,350,14.9,,57.6,261,69,163,42,71,14.9,2.1,17
1986-87,26,EDM,NHL,C,79,62,121,183,69,28,42,13,7,4,82,33,6,288,21.5,,56.5,226,64,120,27,69,15.2,2.4,17.6
1987-88,27,EDM,NHL,C,64,40,109,149,39,24,26,9,5,3,65,40,4,211,19,,42.8,172,55,99,21,39,11.3,1.6,12.8
1988-89,28,LAK,NHL,C,78,54,114,168,15,26,38,11,5,5,62,42,10,303,17.8,,50.2,213,72,169,43,15,13.2,0.9,14.1
1989-90,29,LAK,NHL,C,73,40,102,142,8,42,26,10,4,4,70,30,2,236,16.9,,42,181,59,153,39,8,10.5,0.8,11.3
1990-91,30,LAK,NHL,C,78,41,122,163,30,16,33,8,0,5,70,51,1,212,19.3,,49.9,200,70,110,10,30,13,1.5,14.5
1991-92,31,LAK,NHL,C,74,31,90,121,-12,34,17,12,2,2,46,42,2,215,14.4,,37.1,151,65,114,16,-12,8.8,0.5,9.4
1992-93,32,LAK,NHL,C,45,16,49,65,6,6,14,0,2,1,24,24,1,141,11.3,,17.7,90,36,60,12,6,4.2,0.6,4.8
1993-94,33,LAK,NHL,C,81,38,92,130,-25,20,20,14,4,0,42,47,3,233,16.3,,42,162,78,138,29,-25,11,0.1,11.1
1994-95,34,LAK,NHL,C,48,11,37,48,-20,6,8,3,0,1,15,19,3,142,7.7,,27.8,63,29,70,16,-20,3.4,-0.1,3.3
1995-96,35,2TM,NHL,C,80,23,79,102,-13,34,16,6,1,3,38,41,0,195,11.8,,32.5,124,55,101,19,-13,7.7,0.7,8.4
1995-96,35,LAK,NHL,C,62,15,66,81,-7,32,10,5,0,2,34,32,0,144,10.4,,24.8,97,42,76,14,-7,5.8,0.6,6.4
1995-96,35,STL,NHL,C,18,8,13,21,-6,2,6,1,1,1,4,9,0,51,15.7,,7.6,27,13,25,5,-6,1.9,0.1,2
1996-97,36,NYR,NHL,C,82,25,72,97,12,28,19,6,0,2,46,25,1,286,8.7,,34.6,125,41,83,11,12,8.2,1.3,9.5
1997-98,37,NYR,NHL,C,82,23,67,90,-11,28,17,6,0,4,43,24,0,201,11.4,1756:20:00,35.2,110,41,85,5,-11,8.2,0.9,9.1
1998-99,38,NYR,NHL,C,70,9,53,62,-23,14,6,3,0,3,26,27,0,132,6.8,1475:13:00,21.8,81,38,71,5,-23,3.3,0.9,4.2
